epoch (ms),time (06:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601970687708,2020-10-06T10:51:27.708,4.560,-0.107,-0.823,0.244
1601970687728,2020-10-06T10:51:27.728,4.580,0.305,0.198,0.274
1601970687748,2020-10-06T10:51:27.748,4.600,-0.244,-1.402,0.427
1601970687768,2020-10-06T10:51:27.768,4.620,-0.015,-1.128,0.213
1601970687788,2020-10-06T10:51:27.788,4.640,0.701,2.226,0.244
1601970687808,2020-10-06T10:51:27.808,4.660,0.076,-1.265,0.320
1601970687828,2020-10-06T10:51:27.828,4.680,-0.930,-4.893,0.427
1601970687848,2020-10-06T10:51:27.848,4.700,0.640,0.686,0.457
1601970687868,2020-10-06T10:51:27.868,4.720,0.564,1.677,0.549
1601970687888,2020-10-06T10:51:27.888,4.740,-1.204,-5.305,0.518
1601970687908,2020-10-06T10:51:27.908,4.760,-0.183,-2.195,0.351
1601970687928,2020-10-06T10:51:27.928,4.780,1.463,4.695,0.183
1601970687948,2020-10-06T10:51:27.948,4.800,0.427,0.945,0.122
1601970687968,2020-10-06T10:51:27.968,4.820,-0.655,-3.552,0.213
1601970687988,2020-10-06T10:51:27.988,4.840,0.259,-0.579,0.335
1601970688008,2020-10-06T10:51:28.008,4.860,0.473,0.122,0.396
1601970688028,2020-10-06T10:51:28.028,4.880,-0.777,-3.780,0.427
1601970688048,2020-10-06T10:51:28.048,4.900,-0.320,-1.875,0.229
1601970688068,2020-10-06T10:51:28.068,4.920,1.372,4.482,-0.030
1601970688088,2020-10-06T10:51:28.088,4.940,0.473,0.808,-0.076
1601970688108,2020-10-06T10:51:28.108,4.960,-1.463,-7.165,0.290
1601970688128,2020-10-06T10:51:28.128,4.980,0.762,2.348,0.274
1601970688148,2020-10-06T10:51:28.148,5.000,1.890,5.793,0.412
1601970688168,2020-10-06T10:51:28.168,5.020,-1.616,-6.265,0.335
1601970688188,2020-10-06T10:51:28.188,5.040,-1.174,-5.610,0.213
1601970688208,2020-10-06T10:51:28.208,5.060,1.723,4.451,0.259
1601970688228,2020-10-06T10:51:28.228,5.080,1.037,1.799,0.183
1601970688248,2020-10-06T10:51:28.248,5.100,-0.777,-4.527,0.229
1601970688268,2020-10-06T10:51:28.268,5.120,-0.595,-3.567,0.381
1601970688288,2020-10-06T10:51:28.288,5.140,-0.274,-2.287,0.412
1601970688308,2020-10-06T10:51:28.308,5.160,-0.061,-1.341,0.381
1601970688328,2020-10-06T10:51:28.328,5.180,0.366,0.976,0.229
1601970688348,2020-10-06T10:51:28.348,5.200,-0.091,-0.290,0.290
1601970688368,2020-10-06T10:51:28.368,5.220,-0.320,-0.777,0.305
1601970688388,2020-10-06T10:51:28.388,5.240,0.747,2.317,0.351
1601970688408,2020-10-06T10:51:28.408,5.260,0.351,0.793,0.320
1601970688428,2020-10-06T10:51:28.428,5.280,-0.732,-3.079,0.396
