epoch (ms),time (06:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601970687352,2020-10-06T10:51:27.352,4.180,0.048,-0.017,1.019
1601970687372,2020-10-06T10:51:27.372,4.200,0.038,-0.016,1.021
1601970687392,2020-10-06T10:51:27.392,4.220,0.035,-0.014,1.013
1601970687412,2020-10-06T10:51:27.412,4.240,0.042,-0.018,1.017
1601970687432,2020-10-06T10:51:27.432,4.260,0.049,-0.020,1.023
1601970687452,2020-10-06T10:51:27.452,4.280,0.044,-0.017,1.019
1601970687472,2020-10-06T10:51:27.472,4.300,0.037,-0.015,1.019
1601970687492,2020-10-06T10:51:27.492,4.320,0.038,-0.018,1.014
1601970687512,2020-10-06T10:51:27.512,4.340,0.042,-0.018,1.017
1601970687532,2020-10-06T10:51:27.532,4.360,0.041,-0.016,1.018
1601970687552,2020-10-06T10:51:27.552,4.380,0.041,-0.018,1.016
1601970687572,2020-10-06T10:51:27.572,4.400,0.044,-0.017,1.021
1601970687592,2020-10-06T10:51:27.592,4.420,0.044,-0.016,1.019
1601970687612,2020-10-06T10:51:27.612,4.440,0.038,-0.015,1.015
1601970687632,2020-10-06T10:51:27.632,4.460,0.041,-0.016,1.019
1601970687652,2020-10-06T10:51:27.652,4.480,0.045,-0.017,1.021
1601970687672,2020-10-06T10:51:27.672,4.500,0.043,-0.017,1.015
1601970687692,2020-10-06T10:51:27.692,4.520,0.040,-0.017,1.016
1601970687712,2020-10-06T10:51:27.712,4.540,0.040,-0.017,1.019
1601970687732,2020-10-06T10:51:27.732,4.560,0.040,-0.018,1.016
1601970687752,2020-10-06T10:51:27.752,4.580,0.044,-0.018,1.021
1601970687772,2020-10-06T10:51:27.772,4.600,0.045,-0.016,1.020
1601970687792,2020-10-06T10:51:27.792,4.620,0.034,-0.016,1.016
1601970687812,2020-10-06T10:51:27.812,4.640,0.039,-0.014,1.016
1601970687832,2020-10-06T10:51:27.832,4.660,0.049,-0.017,1.024
1601970687852,2020-10-06T10:51:27.852,4.680,0.040,-0.016,1.021
1601970687872,2020-10-06T10:51:27.872,4.700,0.035,-0.016,1.014
1601970687892,2020-10-06T10:51:27.892,4.720,0.047,-0.018,1.020
1601970687912,2020-10-06T10:51:27.912,4.740,0.051,-0.020,1.023
1601970687932,2020-10-06T10:51:27.932,4.760,0.041,-0.015,1.017
1601970687952,2020-10-06T10:51:27.952,4.780,0.037,-0.014,1.013
1601970687972,2020-10-06T10:51:27.972,4.800,0.040,-0.018,1.018
1601970687992,2020-10-06T10:51:27.992,4.820,0.040,-0.014,1.022
1601970688012,2020-10-06T10:51:28.012,4.840,0.038,-0.014,1.018
1601970688032,2020-10-06T10:51:28.032,4.860,0.050,-0.018,1.018
1601970688052,2020-10-06T10:51:28.052,4.880,0.052,-0.018,1.022
1601970688072,2020-10-06T10:51:28.072,4.900,0.036,-0.016,1.018
1601970688092,2020-10-06T10:51:28.092,4.920,0.036,-0.017,1.011
1601970688112,2020-10-06T10:51:28.112,4.940,0.053,-0.017,1.022
1601970688132,2020-10-06T10:51:28.132,4.960,0.042,-0.016,1.024
1601970688152,2020-10-06T10:51:28.152,4.980,0.030,-0.012,1.011
